[/bin/bash] 1102717############################################
[/bin/bash] ## Starting Python Python 3.8.3
[/bin/bash] ## Training using algorithm ppo from framework CleanRL
[/bin/bash] ## On environment CartPole-v1 with 100000 timesteps
[/bin/bash] ## This is repetition 3/3
[/bin/bash] ## This is s2989344 on node007 and this job has the ID 3933235
[/bin/bash] ##############################################
[/bin/bash] ## current working directory: /home/s2989344/Documents/MSc/CleanRL
[/bin/bash] ## current python version: Python 3.8.3
[/bin/bash] ## python from path: /home/s2989344/.conda/envs/CleanRL/bin/python
[/bin/bash] ## list of packages: # packages in environment at /home/s2989344/.conda/envs/CleanRL: # # Name Version Build Channel _libgcc_mutex 0.1 main _openmp_mutex 5.1 1_gnu absl-py 1.4.0 pypi_0 pypi ale-py 0.8.1 pypi_0 pypi appdirs 1.4.4 pypi_0 pypi autorom 0.4.2 pypi_0 pypi autorom-accept-rom-license 0.6.1 pypi_0 pypi ca-certificates 2025.2.25 h06a4308_0 cachetools 5.3.0 pypi_0 pypi certifi 2023.5.7 pypi_0 pypi charset-normalizer 3.1.0 pypi_0 pypi click 8.1.3 pypi_0 pypi cloudpickle 2.2.1 pypi_0 pypi colorama 0.4.4 pypi_0 pypi commonmark 0.9.1 pypi_0 pypi cycler 0.11.0 pypi_0 pypi decorator 4.4.2 pypi_0 pypi docker-pycreds 0.4.0 pypi_0 pypi docstring-parser 0.15 pypi_0 pypi farama-notifications 0.0.4 pypi_0 pypi filelock 3.12.0 pypi_0 pypi fonttools 4.38.0 pypi_0 pypi gitdb 4.0.10 pypi_0 pypi gitpython 3.1.31 pypi_0 pypi glfw 1.12.0 pypi_0 pypi google-auth 2.18.0 pypi_0 pypi google-auth-oauthlib 0.4.6 pypi_0 pypi grpcio 1.54.0 pypi_0 pypi gym 0.23.1 pypi_0 pypi gym-notices 0.0.8 pypi_0 pypi gymnasium 0.28.1 pypi_0 pypi huggingface-hub 0.11.1 pypi_0 pypi idna 3.4 pypi_0 pypi imageio 2.28.1 pypi_0 pypi imageio-ffmpeg 0.3.0 pypi_0 pypi importlib-metadata 5.2.0 pypi_0 pypi importlib-resources 5.12.0 pypi_0 pypi jax-jumpy 1.0.0 pypi_0 pypi kiwisolver 1.4.4 pypi_0 pypi ld_impl_linux-64 2.40 h12ee557_0 libffi 3.3 he6710b0_2 libgcc-ng 11.2.0 h1234567_1 libgomp 11.2.0 h1234567_1 libstdcxx-ng 11.2.0 h1234567_1 markdown 3.3.7 pypi_0 pypi markupsafe 2.1.2 pypi_0 pypi matplotlib 3.5.3 pypi_0 pypi moviepy 1.0.3 pypi_0 pypi mujoco 2.3.3 pypi_0 pypi ncurses 6.4 h6a678d5_0 numpy 1.24.4 pypi_0 pypi oauthlib 3.2.2 pypi_0 pypi opencv-python 4.7.0.72 pypi_0 pypi openssl 1.1.1w h7f8727e_0 packaging 23.1 pypi_0 pypi pandas 1.3.5 pypi_0 pypi pathtools 0.1.2 pypi_0 pypi pillow 9.5.0 pypi_0 pypi pip 24.2 py38h06a4308_0 proglog 0.1.10 pypi_0 pypi protobuf 3.20.3 pypi_0 pypi psutil 5.9.5 pypi_0 pypi pyasn1 0.5.0 pypi_0 pypi pyasn1-modules 0.3.0 pypi_0 pypi pygame 2.1.0 pypi_0 pypi pygments 2.15.1 pypi_0 pypi pyopengl 3.1.6 pypi_0 pypi pyparsing 3.0.9 pypi_0 pypi python 3.8.3 hcff3b4d_2 python-dateutil 2.8.2 pypi_0 pypi pytz 2023.3 pypi_0 pypi pyyaml 6.0.1 pypi_0 pypi readline 8.2 h5eee18b_0 requests 2.30.0 pypi_0 pypi requests-oauthlib 1.3.1 pypi_0 pypi rich 11.2.0 pypi_0 pypi rsa 4.7.2 pypi_0 pypi sentry-sdk 1.22.2 pypi_0 pypi setproctitle 1.3.2 pypi_0 pypi setuptools 67.7.2 pypi_0 pypi shimmy 1.1.0 pypi_0 pypi shtab 1.6.4 pypi_0 pypi six 1.16.0 pypi_0 pypi smmap 5.0.0 pypi_0 pypi sqlite 3.45.3 h5eee18b_0 stable-baselines3 2.0.0 pypi_0 pypi tenacity 8.2.3 pypi_0 pypi tensorboard 2.11.2 pypi_0 pypi tensorboard-data-server 0.6.1 pypi_0 pypi tensorboard-plugin-wit 1.8.1 pypi_0 pypi tk 8.6.14 h39e8969_0 torch 1.12.1 pypi_0 pypi tqdm 4.65.0 pypi_0 pypi typing 3.7.4.3 pypi_0 pypi typing-extensions 4.5.0 pypi_0 pypi tyro 0.5.10 pypi_0 pypi urllib3 1.26.15 pypi_0 pypi wandb 0.13.11 pypi_0 pypi werkzeug 2.2.3 pypi_0 pypi wheel 0.40.0 pypi_0 pypi xz 5.6.4 h5eee18b_1 zipp 3.15.0 pypi_0 pypi zlib 1.2.13 h5eee18b_1
[/bin/bash] ##############################################
[/bin/bash] ## Start run script
/home/s2989344/.conda/envs/CleanRL/lib/python3.8/site-packages/torch/utils/tensorboard/__init__.py:4: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  if not hasattr(tensorboard, "__version__") or LooseVersion(
global_step=3391, episodic_return=[55.]
global_step=3419, episodic_return=[28.]
global_step=3433, episodic_return=[14.]
global_step=3457, episodic_return=[24.]
global_step=3471, episodic_return=[14.]
global_step=3491, episodic_return=[20.]
global_step=3502, episodic_return=[11.]
global_step=3524, episodic_return=[22.]
global_step=3540, episodic_return=[16.]
global_step=3564, episodic_return=[24.]
global_step=3586, episodic_return=[22.]
global_step=3617, episodic_return=[31.]
global_step=3666, episodic_return=[49.]
global_step=3676, episodic_return=[10.]
global_step=3692, episodic_return=[16.]
global_step=3735, episodic_return=[43.]
global_step=3754, episodic_return=[19.]
global_step=3776, episodic_return=[22.]
global_step=3800, episodic_return=[24.]
global_step=3889, episodic_return=[89.]
global_step=3903, episodic_return=[14.]
global_step=3915, episodic_return=[12.]
global_step=3936, episodic_return=[21.]
global_step=3948, episodic_return=[12.]
global_step=3974, episodic_return=[26.]
global_step=3992, episodic_return=[18.]
global_step=4011, episodic_return=[19.]
global_step=4030, episodic_return=[19.]
global_step=4062, episodic_return=[32.]
global_step=4077, episodic_return=[15.]
SPS: 578
global_step=4116, episodic_return=[39.]
global_step=4140, episodic_return=[24.]
global_step=4185, episodic_return=[45.]
global_step=4220, episodic_return=[35.]
global_step=4250, episodic_return=[30.]
global_step=4295, episodic_return=[45.]
global_step=4356, episodic_return=[61.]
global_step=4384, episodic_return=[28.]
global_step=4399, episodic_return=[15.]
global_step=4432, episodic_return=[33.]
global_step=4464, episodic_return=[32.]
global_step=4503, episodic_return=[39.]
global_step=4519, episodic_return=[16.]
global_step=4532, episodic_return=[13.]
global_step=4563, episodic_return=[31.]
global_step=4573, episodic_return=[10.]
global_step=4627, episodic_return=[54.]
global_step=4644, episodic_return=[17.]
global_step=4656, episodic_return=[12.]
global_step=4669, episodic_return=[13.]
global_step=4749, episodic_return=[80.]
global_step=4773, episodic_return=[24.]
global_step=4851, episodic_return=[78.]
global_step=4879, episodic_return=[28.]
global_step=4896, episodic_return=[17.]
global_step=4911, episodic_return=[15.]
global_step=4936, episodic_return=[25.]
global_step=4970, episodic_return=[34.]
global_step=4998, episodic_return=[28.]
global_step=5025, episodic_return=[27.]
global_step=5080, episodic_return=[55.]
global_step=5141, episodic_return=[61.]
global_step=5151, episodic_return=[10.]
global_step=5168, episodic_return=[17.]
global_step=5183, episodic_return=[15.]
global_step=5205, episodic_return=[22.]
global_step=5223, episodic_return=[18.]
global_step=5253, episodic_return=[30.]
global_step=5294, episodic_return=[41.]
global_step=5316, episodic_return=[22.]
global_step=5376, episodic_return=[60.]
global_step=5489, episodic_return=[113.]
global_step=5511, episodic_return=[22.]
global_step=5543, episodic_return=[32.]
global_step=5562, episodic_return=[19.]
global_step=5588, episodic_return=[26.]
global_step=5623, episodic_return=[35.]
global_step=5654, episodic_return=[31.]
global_step=5742, episodic_return=[88.]
global_step=5768, episodic_return=[26.]
global_step=5850, episodic_return=[82.]
global_step=5872, episodic_return=[22.]
global_step=5940, episodic_return=[68.]
global_step=5956, episodic_return=[16.]
global_step=6031, episodic_return=[75.]
global_step=6097, episodic_return=[66.]
SPS: 585
global_step=6180, episodic_return=[83.]
global_step=6242, episodic_return=[62.]
global_step=6289, episodic_return=[47.]
global_step=6305, episodic_return=[16.]
global_step=6319, episodic_return=[14.]
global_step=6349, episodic_return=[30.]
global_step=6374, episodic_return=[25.]
global_step=6388, episodic_return=[14.]
global_step=6466, episodic_return=[78.]
global_step=6498, episodic_return=[32.]
global_step=6563, episodic_return=[65.]
global_step=6576, episodic_return=[13.]
global_step=6602, episodic_return=[26.]
global_step=6702, episodic_return=[100.]
global_step=6735, episodic_return=[33.]
global_step=6857, episodic_return=[122.]
global_step=6875, episodic_return=[18.]
global_step=6924, episodic_return=[49.]
global_step=6992, episodic_return=[68.]
global_step=7025, episodic_return=[33.]
global_step=7062, episodic_return=[37.]
global_step=7118, episodic_return=[56.]
global_step=7136, episodic_return=[18.]
global_step=7229, episodic_return=[93.]
global_step=7273, episodic_return=[44.]
global_step=7325, episodic_return=[52.]
global_step=7342, episodic_return=[17.]
global_step=7419, episodic_return=[77.]
global_step=7453, episodic_return=[34.]
global_step=7475, episodic_return=[22.]
global_step=7501, episodic_return=[26.]
global_step=7543, episodic_return=[42.]
global_step=7621, episodic_return=[78.]
global_step=7675, episodic_return=[54.]
global_step=7736, episodic_return=[61.]
global_step=7756, episodic_return=[20.]
global_step=7784, episodic_return=[28.]
global_step=7798, episodic_return=[14.]
global_step=7835, episodic_return=[37.]
global_step=7964, episodic_return=[129.]
global_step=7976, episodic_return=[12.]
global_step=8006, episodic_return=[30.]
global_step=8018, episodic_return=[12.]
global_step=8044, episodic_return=[26.]
global_step=8118, episodic_return=[74.]
global_step=8159, episodic_return=[41.]
SPS: 590
global_step=8351, episodic_return=[192.]
global_step=8430, episodic_return=[79.]
global_step=8480, episodic_return=[50.]
global_step=8506, episodic_return=[26.]
global_step=8585, episodic_return=[79.]
global_step=8656, episodic_return=[71.]
global_step=8704, episodic_return=[48.]
global_step=8880, episodic_return=[176.]
global_step=8956, episodic_return=[76.]
global_step=9089, episodic_return=[133.]
global_step=9127, episodic_return=[38.]
global_step=9398, episodic_return=[271.]
global_step=9477, episodic_return=[79.]
global_step=9665, episodic_return=[188.]
global_step=9731, episodic_return=[66.]
global_step=9874, episodic_return=[143.]
global_step=9969, episodic_return=[95.]
global_step=9996, episodic_return=[27.]
global_step=10012, episodic_return=[16.]
global_step=10145, episodic_return=[133.]
global_step=10160, episodic_return=[15.]
global_step=10231, episodic_return=[71.]
SPS: 594
global_step=10356, episodic_return=[125.]
global_step=10397, episodic_return=[41.]
global_step=10441, episodic_return=[44.]
global_step=10455, episodic_return=[14.]
global_step=10616, episodic_return=[161.]
global_step=10787, episodic_return=[171.]
global_step=10932, episodic_return=[145.]
global_step=11004, episodic_return=[72.]
global_step=11093, episodic_return=[89.]
global_step=11193, episodic_return=[100.]
global_step=11255, episodic_return=[62.]
global_step=11350, episodic_return=[95.]
global_step=11372, episodic_return=[22.]
global_step=11405, episodic_return=[33.]
global_step=11531, episodic_return=[126.]
global_step=11630, episodic_return=[99.]
global_step=11763, episodic_return=[133.]
global_step=11935, episodic_return=[172.]
global_step=12221, episodic_return=[286.]
SPS: 597
global_step=12536, episodic_return=[315.]
global_step=12770, episodic_return=[234.]
global_step=12988, episodic_return=[218.]
global_step=13233, episodic_return=[245.]
global_step=13422, episodic_return=[189.]
global_step=13575, episodic_return=[153.]
global_step=13806, episodic_return=[231.]
global_step=14072, episodic_return=[266.]
global_step=14105, episodic_return=[33.]
global_step=14226, episodic_return=[121.]
SPS: 600
global_step=14450, episodic_return=[224.]
global_step=14562, episodic_return=[112.]
global_step=14738, episodic_return=[176.]
global_step=14796, episodic_return=[58.]
global_step=14958, episodic_return=[162.]
global_step=15141, episodic_return=[183.]
global_step=15309, episodic_return=[168.]
global_step=15572, episodic_return=[263.]
global_step=15735, episodic_return=[163.]
global_step=15876, episodic_return=[141.]
global_step=15929, episodic_return=[53.]
global_step=16085, episodic_return=[156.]
global_step=16345, episodic_return=[260.]
SPS: 602
global_step=16454, episodic_return=[109.]
global_step=16649, episodic_return=[195.]
global_step=16825, episodic_return=[176.]
global_step=16983, episodic_return=[158.]
global_step=17238, episodic_return=[255.]
global_step=17471, episodic_return=[233.]
global_step=17711, episodic_return=[240.]
global_step=18034, episodic_return=[323.]
global_step=18191, episodic_return=[157.]
SPS: 603
global_step=18497, episodic_return=[306.]
global_step=18559, episodic_return=[62.]
global_step=18732, episodic_return=[173.]
global_step=19024, episodic_return=[292.]
global_step=19164, episodic_return=[140.]
global_step=19289, episodic_return=[125.]
global_step=19486, episodic_return=[197.]
global_step=19986, episodic_return=[500.]
global_step=20163, episodic_return=[177.]
global_step=20326, episodic_return=[163.]
SPS: 604
global_step=20481, episodic_return=[155.]
global_step=20731, episodic_return=[250.]
global_step=20899, episodic_return=[168.]
global_step=21075, episodic_return=[176.]
global_step=21207, episodic_return=[132.]
global_step=21495, episodic_return=[288.]
global_step=21909, episodic_return=[414.]
global_step=22144, episodic_return=[235.]
global_step=22267, episodic_return=[123.]
global_step=22436, episodic_return=[169.]
SPS: 606
global_step=22608, episodic_return=[172.]
global_step=22778, episodic_return=[170.]
global_step=23131, episodic_return=[353.]
global_step=23466, episodic_return=[335.]
global_step=23642, episodic_return=[176.]
global_step=23770, episodic_return=[128.]
global_step=24044, episodic_return=[274.]
global_step=24220, episodic_return=[176.]
global_step=24386, episodic_return=[166.]
SPS: 606
global_step=24580, episodic_return=[194.]
global_step=24814, episodic_return=[234.]
global_step=25011, episodic_return=[197.]
global_step=25201, episodic_return=[190.]
global_step=25329, episodic_return=[128.]
global_step=25554, episodic_return=[225.]
global_step=25851, episodic_return=[297.]
global_step=26031, episodic_return=[180.]
global_step=26378, episodic_return=[347.]
SPS: 607
global_step=26874, episodic_return=[496.]
global_step=27093, episodic_return=[219.]
global_step=27450, episodic_return=[357.]
global_step=27707, episodic_return=[257.]
global_step=28094, episodic_return=[387.]
global_step=28403, episodic_return=[309.]
SPS: 608
global_step=28817, episodic_return=[414.]
global_step=29033, episodic_return=[216.]
global_step=29297, episodic_return=[264.]
global_step=29379, episodic_return=[82.]
global_step=29620, episodic_return=[241.]
global_step=29891, episodic_return=[271.]
global_step=30032, episodic_return=[141.]
global_step=30236, episodic_return=[204.]
global_step=30454, episodic_return=[218.]
global_step=30607, episodic_return=[153.]
SPS: 609
global_step=30955, episodic_return=[348.]
global_step=31114, episodic_return=[159.]
global_step=31338, episodic_return=[224.]
global_step=31745, episodic_return=[407.]
global_step=31888, episodic_return=[143.]
global_step=32022, episodic_return=[134.]
global_step=32171, episodic_return=[149.]
global_step=32348, episodic_return=[177.]
global_step=32423, episodic_return=[75.]
global_step=32583, episodic_return=[160.]
SPS: 609
global_step=32789, episodic_return=[206.]
global_step=33126, episodic_return=[337.]
global_step=33474, episodic_return=[348.]
global_step=33639, episodic_return=[165.]
global_step=33825, episodic_return=[186.]
global_step=34053, episodic_return=[228.]
global_step=34409, episodic_return=[356.]
global_step=34672, episodic_return=[263.]
SPS: 609
global_step=34862, episodic_return=[190.]
global_step=35033, episodic_return=[171.]
global_step=35232, episodic_return=[199.]
global_step=35447, episodic_return=[215.]
global_step=35690, episodic_return=[243.]
global_step=36070, episodic_return=[380.]
global_step=36305, episodic_return=[235.]
global_step=36617, episodic_return=[312.]
global_step=36789, episodic_return=[172.]
SPS: 610
global_step=36967, episodic_return=[178.]
global_step=37467, episodic_return=[500.]
global_step=37636, episodic_return=[169.]
global_step=37897, episodic_return=[261.]
global_step=38093, episodic_return=[196.]
global_step=38387, episodic_return=[294.]
global_step=38637, episodic_return=[250.]
global_step=38817, episodic_return=[180.]
SPS: 610
global_step=38999, episodic_return=[182.]
global_step=39302, episodic_return=[303.]
global_step=39642, episodic_return=[340.]
global_step=39923, episodic_return=[281.]
global_step=40160, episodic_return=[237.]
global_step=40405, episodic_return=[245.]
global_step=40624, episodic_return=[219.]
global_step=40756, episodic_return=[132.]
global_step=40937, episodic_return=[181.]
SPS: 610
global_step=41115, episodic_return=[178.]
global_step=41309, episodic_return=[194.]
global_step=41547, episodic_return=[238.]
global_step=41887, episodic_return=[340.]
global_step=42135, episodic_return=[248.]
global_step=42321, episodic_return=[186.]
global_step=42716, episodic_return=[395.]
global_step=42938, episodic_return=[222.]
SPS: 611
global_step=43193, episodic_return=[255.]
global_step=43444, episodic_return=[251.]
global_step=43627, episodic_return=[183.]
global_step=43785, episodic_return=[158.]
global_step=43959, episodic_return=[174.]
global_step=44129, episodic_return=[170.]
global_step=44287, episodic_return=[158.]
global_step=44564, episodic_return=[277.]
global_step=44720, episodic_return=[156.]
global_step=44932, episodic_return=[212.]
SPS: 611
global_step=45103, episodic_return=[171.]
global_step=45310, episodic_return=[207.]
global_step=45564, episodic_return=[254.]
global_step=45859, episodic_return=[295.]
global_step=45960, episodic_return=[101.]
global_step=46239, episodic_return=[279.]
global_step=46448, episodic_return=[209.]
global_step=46693, episodic_return=[245.]
global_step=47079, episodic_return=[386.]
SPS: 611
global_step=47221, episodic_return=[142.]
global_step=47564, episodic_return=[343.]
global_step=47737, episodic_return=[173.]
global_step=48097, episodic_return=[360.]
global_step=48335, episodic_return=[238.]
global_step=48574, episodic_return=[239.]
global_step=48876, episodic_return=[302.]
global_step=49009, episodic_return=[133.]
SPS: 611
global_step=49268, episodic_return=[259.]
global_step=49483, episodic_return=[215.]
global_step=49983, episodic_return=[500.]
global_step=50222, episodic_return=[239.]
global_step=50488, episodic_return=[266.]
global_step=50856, episodic_return=[368.]
