[/bin/bash] 1102721############################################
[/bin/bash] ## Starting Python Python 3.8.3
[/bin/bash] ## Training using algorithm ppo from framework CleanRL
[/bin/bash] ## On environment CartPole-v1 with 100000 timesteps
[/bin/bash] ## This is repetition 1/3
[/bin/bash] ## This is s2989344 on node007 and this job has the ID 3933239
[/bin/bash] ##############################################
[/bin/bash] ## current working directory: /home/s2989344/Documents/MSc/CleanRL
[/bin/bash] ## current python version: Python 3.8.3
[/bin/bash] ## python from path: /home/s2989344/.conda/envs/CleanRL/bin/python
[/bin/bash] ## list of packages: # packages in environment at /home/s2989344/.conda/envs/CleanRL: # # Name Version Build Channel _libgcc_mutex 0.1 main _openmp_mutex 5.1 1_gnu absl-py 1.4.0 pypi_0 pypi ale-py 0.8.1 pypi_0 pypi appdirs 1.4.4 pypi_0 pypi autorom 0.4.2 pypi_0 pypi autorom-accept-rom-license 0.6.1 pypi_0 pypi ca-certificates 2025.2.25 h06a4308_0 cachetools 5.3.0 pypi_0 pypi certifi 2023.5.7 pypi_0 pypi charset-normalizer 3.1.0 pypi_0 pypi click 8.1.3 pypi_0 pypi cloudpickle 2.2.1 pypi_0 pypi colorama 0.4.4 pypi_0 pypi commonmark 0.9.1 pypi_0 pypi cycler 0.11.0 pypi_0 pypi decorator 4.4.2 pypi_0 pypi docker-pycreds 0.4.0 pypi_0 pypi docstring-parser 0.15 pypi_0 pypi farama-notifications 0.0.4 pypi_0 pypi filelock 3.12.0 pypi_0 pypi fonttools 4.38.0 pypi_0 pypi gitdb 4.0.10 pypi_0 pypi gitpython 3.1.31 pypi_0 pypi glfw 1.12.0 pypi_0 pypi google-auth 2.18.0 pypi_0 pypi google-auth-oauthlib 0.4.6 pypi_0 pypi grpcio 1.54.0 pypi_0 pypi gym 0.23.1 pypi_0 pypi gym-notices 0.0.8 pypi_0 pypi gymnasium 0.28.1 pypi_0 pypi huggingface-hub 0.11.1 pypi_0 pypi idna 3.4 pypi_0 pypi imageio 2.28.1 pypi_0 pypi imageio-ffmpeg 0.3.0 pypi_0 pypi importlib-metadata 5.2.0 pypi_0 pypi importlib-resources 5.12.0 pypi_0 pypi jax-jumpy 1.0.0 pypi_0 pypi kiwisolver 1.4.4 pypi_0 pypi ld_impl_linux-64 2.40 h12ee557_0 libffi 3.3 he6710b0_2 libgcc-ng 11.2.0 h1234567_1 libgomp 11.2.0 h1234567_1 libstdcxx-ng 11.2.0 h1234567_1 markdown 3.3.7 pypi_0 pypi markupsafe 2.1.2 pypi_0 pypi matplotlib 3.5.3 pypi_0 pypi moviepy 1.0.3 pypi_0 pypi mujoco 2.3.3 pypi_0 pypi ncurses 6.4 h6a678d5_0 numpy 1.24.4 pypi_0 pypi oauthlib 3.2.2 pypi_0 pypi opencv-python 4.7.0.72 pypi_0 pypi openssl 1.1.1w h7f8727e_0 packaging 23.1 pypi_0 pypi pandas 1.3.5 pypi_0 pypi pathtools 0.1.2 pypi_0 pypi pillow 9.5.0 pypi_0 pypi pip 24.2 py38h06a4308_0 proglog 0.1.10 pypi_0 pypi protobuf 3.20.3 pypi_0 pypi psutil 5.9.5 pypi_0 pypi pyasn1 0.5.0 pypi_0 pypi pyasn1-modules 0.3.0 pypi_0 pypi pygame 2.1.0 pypi_0 pypi pygments 2.15.1 pypi_0 pypi pyopengl 3.1.6 pypi_0 pypi pyparsing 3.0.9 pypi_0 pypi python 3.8.3 hcff3b4d_2 python-dateutil 2.8.2 pypi_0 pypi pytz 2023.3 pypi_0 pypi pyyaml 6.0.1 pypi_0 pypi readline 8.2 h5eee18b_0 requests 2.30.0 pypi_0 pypi requests-oauthlib 1.3.1 pypi_0 pypi rich 11.2.0 pypi_0 pypi rsa 4.7.2 pypi_0 pypi sentry-sdk 1.22.2 pypi_0 pypi setproctitle 1.3.2 pypi_0 pypi setuptools 67.7.2 pypi_0 pypi shimmy 1.1.0 pypi_0 pypi shtab 1.6.4 pypi_0 pypi six 1.16.0 pypi_0 pypi smmap 5.0.0 pypi_0 pypi sqlite 3.45.3 h5eee18b_0 stable-baselines3 2.0.0 pypi_0 pypi tenacity 8.2.3 pypi_0 pypi tensorboard 2.11.2 pypi_0 pypi tensorboard-data-server 0.6.1 pypi_0 pypi tensorboard-plugin-wit 1.8.1 pypi_0 pypi tk 8.6.14 h39e8969_0 torch 1.12.1 pypi_0 pypi tqdm 4.65.0 pypi_0 pypi typing 3.7.4.3 pypi_0 pypi typing-extensions 4.5.0 pypi_0 pypi tyro 0.5.10 pypi_0 pypi urllib3 1.26.15 pypi_0 pypi wandb 0.13.11 pypi_0 pypi werkzeug 2.2.3 pypi_0 pypi wheel 0.40.0 pypi_0 pypi xz 5.6.4 h5eee18b_1 zipp 3.15.0 pypi_0 pypi zlib 1.2.13 h5eee18b_1
[/bin/bash] ##############################################
[/bin/bash] ## Start run script
/home/s2989344/.conda/envs/CleanRL/lib/python3.8/site-packages/torch/utils/tensorboard/__init__.py:4: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  if not hasattr(tensorboard, "__version__") or LooseVersion(
global_step=3513, episodic_return=[26.]
global_step=3536, episodic_return=[23.]
global_step=3570, episodic_return=[34.]
global_step=3606, episodic_return=[36.]
global_step=3620, episodic_return=[14.]
global_step=3641, episodic_return=[21.]
global_step=3659, episodic_return=[18.]
global_step=3671, episodic_return=[12.]
global_step=3693, episodic_return=[22.]
global_step=3718, episodic_return=[25.]
global_step=3735, episodic_return=[17.]
global_step=3750, episodic_return=[15.]
global_step=3772, episodic_return=[22.]
global_step=3783, episodic_return=[11.]
global_step=3807, episodic_return=[24.]
global_step=3836, episodic_return=[29.]
global_step=3883, episodic_return=[47.]
global_step=3912, episodic_return=[29.]
global_step=3956, episodic_return=[44.]
global_step=3976, episodic_return=[20.]
global_step=3988, episodic_return=[12.]
global_step=4006, episodic_return=[18.]
global_step=4022, episodic_return=[16.]
global_step=4037, episodic_return=[15.]
global_step=4063, episodic_return=[26.]
global_step=4077, episodic_return=[14.]
global_step=4092, episodic_return=[15.]
SPS: 557
global_step=4105, episodic_return=[13.]
global_step=4122, episodic_return=[17.]
global_step=4197, episodic_return=[75.]
global_step=4247, episodic_return=[50.]
global_step=4261, episodic_return=[14.]
global_step=4292, episodic_return=[31.]
global_step=4313, episodic_return=[21.]
global_step=4332, episodic_return=[19.]
global_step=4376, episodic_return=[44.]
global_step=4389, episodic_return=[13.]
global_step=4428, episodic_return=[39.]
global_step=4466, episodic_return=[38.]
global_step=4518, episodic_return=[52.]
global_step=4530, episodic_return=[12.]
global_step=4580, episodic_return=[50.]
global_step=4613, episodic_return=[33.]
global_step=4633, episodic_return=[20.]
global_step=4688, episodic_return=[55.]
global_step=4722, episodic_return=[34.]
global_step=4768, episodic_return=[46.]
global_step=4799, episodic_return=[31.]
global_step=4812, episodic_return=[13.]
global_step=4922, episodic_return=[110.]
global_step=4963, episodic_return=[41.]
global_step=5011, episodic_return=[48.]
global_step=5055, episodic_return=[44.]
global_step=5080, episodic_return=[25.]
global_step=5091, episodic_return=[11.]
global_step=5125, episodic_return=[34.]
global_step=5134, episodic_return=[9.]
global_step=5154, episodic_return=[20.]
global_step=5169, episodic_return=[15.]
global_step=5182, episodic_return=[13.]
global_step=5206, episodic_return=[24.]
global_step=5218, episodic_return=[12.]
global_step=5245, episodic_return=[27.]
global_step=5290, episodic_return=[45.]
global_step=5311, episodic_return=[21.]
global_step=5326, episodic_return=[15.]
global_step=5344, episodic_return=[18.]
global_step=5419, episodic_return=[75.]
global_step=5442, episodic_return=[23.]
global_step=5461, episodic_return=[19.]
global_step=5493, episodic_return=[32.]
global_step=5507, episodic_return=[14.]
global_step=5522, episodic_return=[15.]
global_step=5562, episodic_return=[40.]
global_step=5581, episodic_return=[19.]
global_step=5626, episodic_return=[45.]
global_step=5646, episodic_return=[20.]
global_step=5740, episodic_return=[94.]
global_step=5770, episodic_return=[30.]
global_step=5790, episodic_return=[20.]
global_step=5808, episodic_return=[18.]
global_step=5828, episodic_return=[20.]
global_step=5846, episodic_return=[18.]
global_step=5882, episodic_return=[36.]
global_step=5898, episodic_return=[16.]
global_step=5916, episodic_return=[18.]
global_step=5947, episodic_return=[31.]
global_step=5993, episodic_return=[46.]
global_step=6028, episodic_return=[35.]
global_step=6038, episodic_return=[10.]
global_step=6060, episodic_return=[22.]
global_step=6083, episodic_return=[23.]
global_step=6096, episodic_return=[13.]
SPS: 569
global_step=6185, episodic_return=[89.]
global_step=6274, episodic_return=[89.]
global_step=6294, episodic_return=[20.]
global_step=6315, episodic_return=[21.]
global_step=6332, episodic_return=[17.]
global_step=6351, episodic_return=[19.]
global_step=6375, episodic_return=[24.]
global_step=6445, episodic_return=[70.]
global_step=6480, episodic_return=[35.]
global_step=6496, episodic_return=[16.]
global_step=6520, episodic_return=[24.]
global_step=6597, episodic_return=[77.]
global_step=6631, episodic_return=[34.]
global_step=6714, episodic_return=[83.]
global_step=6730, episodic_return=[16.]
global_step=6767, episodic_return=[37.]
global_step=6783, episodic_return=[16.]
global_step=6837, episodic_return=[54.]
global_step=6847, episodic_return=[10.]
global_step=6900, episodic_return=[53.]
global_step=6949, episodic_return=[49.]
global_step=6973, episodic_return=[24.]
global_step=7000, episodic_return=[27.]
global_step=7044, episodic_return=[44.]
global_step=7128, episodic_return=[84.]
global_step=7171, episodic_return=[43.]
global_step=7195, episodic_return=[24.]
global_step=7301, episodic_return=[106.]
global_step=7395, episodic_return=[94.]
global_step=7430, episodic_return=[35.]
global_step=7461, episodic_return=[31.]
global_step=7547, episodic_return=[86.]
global_step=7575, episodic_return=[28.]
global_step=7653, episodic_return=[78.]
global_step=7673, episodic_return=[20.]
global_step=7692, episodic_return=[19.]
global_step=7760, episodic_return=[68.]
global_step=7828, episodic_return=[68.]
global_step=7954, episodic_return=[126.]
global_step=7973, episodic_return=[19.]
global_step=8027, episodic_return=[54.]
global_step=8070, episodic_return=[43.]
SPS: 578
global_step=8196, episodic_return=[126.]
global_step=8280, episodic_return=[84.]
global_step=8395, episodic_return=[115.]
global_step=8549, episodic_return=[154.]
global_step=8595, episodic_return=[46.]
global_step=8633, episodic_return=[38.]
global_step=8765, episodic_return=[132.]
global_step=8785, episodic_return=[20.]
global_step=8859, episodic_return=[74.]
global_step=8970, episodic_return=[111.]
global_step=9006, episodic_return=[36.]
global_step=9146, episodic_return=[140.]
global_step=9242, episodic_return=[96.]
global_step=9326, episodic_return=[84.]
global_step=9422, episodic_return=[96.]
global_step=9459, episodic_return=[37.]
global_step=9487, episodic_return=[28.]
global_step=9580, episodic_return=[93.]
global_step=9708, episodic_return=[128.]
global_step=9775, episodic_return=[67.]
global_step=9838, episodic_return=[63.]
global_step=9908, episodic_return=[70.]
global_step=9990, episodic_return=[82.]
global_step=10035, episodic_return=[45.]
global_step=10117, episodic_return=[82.]
global_step=10238, episodic_return=[121.]
SPS: 585
global_step=10433, episodic_return=[195.]
global_step=10479, episodic_return=[46.]
global_step=10622, episodic_return=[143.]
global_step=10707, episodic_return=[85.]
global_step=10770, episodic_return=[63.]
global_step=10903, episodic_return=[133.]
global_step=10988, episodic_return=[85.]
global_step=11014, episodic_return=[26.]
global_step=11052, episodic_return=[38.]
global_step=11119, episodic_return=[67.]
global_step=11197, episodic_return=[78.]
global_step=11237, episodic_return=[40.]
global_step=11336, episodic_return=[99.]
global_step=11417, episodic_return=[81.]
global_step=11454, episodic_return=[37.]
global_step=11577, episodic_return=[123.]
global_step=11719, episodic_return=[142.]
global_step=11873, episodic_return=[154.]
global_step=11889, episodic_return=[16.]
global_step=11945, episodic_return=[56.]
global_step=12020, episodic_return=[75.]
global_step=12050, episodic_return=[30.]
global_step=12275, episodic_return=[225.]
SPS: 590
global_step=12474, episodic_return=[199.]
global_step=12502, episodic_return=[28.]
global_step=12602, episodic_return=[100.]
global_step=12636, episodic_return=[34.]
global_step=12769, episodic_return=[133.]
global_step=12978, episodic_return=[209.]
global_step=13012, episodic_return=[34.]
global_step=13170, episodic_return=[158.]
global_step=13362, episodic_return=[192.]
global_step=13527, episodic_return=[165.]
global_step=13707, episodic_return=[180.]
global_step=13807, episodic_return=[100.]
global_step=14027, episodic_return=[220.]
global_step=14260, episodic_return=[233.]
global_step=14318, episodic_return=[58.]
SPS: 593
global_step=14487, episodic_return=[169.]
global_step=14800, episodic_return=[313.]
global_step=14827, episodic_return=[27.]
global_step=15180, episodic_return=[353.]
global_step=15315, episodic_return=[135.]
global_step=15349, episodic_return=[34.]
global_step=15559, episodic_return=[210.]
global_step=15711, episodic_return=[152.]
global_step=15785, episodic_return=[74.]
global_step=15929, episodic_return=[144.]
global_step=15990, episodic_return=[61.]
global_step=16041, episodic_return=[51.]
global_step=16308, episodic_return=[267.]
SPS: 596
global_step=16564, episodic_return=[256.]
global_step=16764, episodic_return=[200.]
global_step=16979, episodic_return=[215.]
global_step=17151, episodic_return=[172.]
global_step=17406, episodic_return=[255.]
global_step=17655, episodic_return=[249.]
global_step=17935, episodic_return=[280.]
global_step=18337, episodic_return=[402.]
SPS: 599
global_step=18595, episodic_return=[258.]
global_step=18755, episodic_return=[160.]
global_step=19047, episodic_return=[292.]
global_step=19547, episodic_return=[500.]
global_step=19951, episodic_return=[404.]
global_step=20167, episodic_return=[216.]
global_step=20400, episodic_return=[233.]
SPS: 601
global_step=20761, episodic_return=[361.]
global_step=21105, episodic_return=[344.]
global_step=21317, episodic_return=[212.]
global_step=21593, episodic_return=[276.]
global_step=21830, episodic_return=[237.]
global_step=22110, episodic_return=[280.]
global_step=22352, episodic_return=[242.]
SPS: 602
global_step=22807, episodic_return=[455.]
global_step=23109, episodic_return=[302.]
global_step=23381, episodic_return=[272.]
global_step=23529, episodic_return=[148.]
global_step=23776, episodic_return=[247.]
global_step=23969, episodic_return=[193.]
global_step=24300, episodic_return=[331.]
global_step=24446, episodic_return=[146.]
SPS: 604
global_step=24734, episodic_return=[288.]
global_step=24832, episodic_return=[98.]
global_step=25156, episodic_return=[324.]
global_step=25408, episodic_return=[252.]
global_step=25848, episodic_return=[440.]
global_step=26042, episodic_return=[194.]
global_step=26255, episodic_return=[213.]
global_step=26504, episodic_return=[249.]
SPS: 605
global_step=26701, episodic_return=[197.]
global_step=26839, episodic_return=[138.]
global_step=27001, episodic_return=[162.]
global_step=27158, episodic_return=[157.]
global_step=27413, episodic_return=[255.]
global_step=27537, episodic_return=[124.]
global_step=27732, episodic_return=[195.]
global_step=27852, episodic_return=[120.]
global_step=28044, episodic_return=[192.]
global_step=28347, episodic_return=[303.]
global_step=28502, episodic_return=[155.]
SPS: 606
global_step=28825, episodic_return=[323.]
global_step=29094, episodic_return=[269.]
global_step=29291, episodic_return=[197.]
global_step=29494, episodic_return=[203.]
global_step=29677, episodic_return=[183.]
global_step=29862, episodic_return=[185.]
global_step=30198, episodic_return=[336.]
global_step=30422, episodic_return=[224.]
SPS: 607
global_step=30796, episodic_return=[374.]
global_step=30997, episodic_return=[201.]
global_step=31212, episodic_return=[215.]
global_step=31486, episodic_return=[274.]
global_step=31699, episodic_return=[213.]
global_step=31958, episodic_return=[259.]
global_step=32281, episodic_return=[323.]
global_step=32484, episodic_return=[203.]
global_step=32684, episodic_return=[200.]
SPS: 608
global_step=32920, episodic_return=[236.]
global_step=33187, episodic_return=[267.]
global_step=33408, episodic_return=[221.]
global_step=33908, episodic_return=[500.]
global_step=34104, episodic_return=[196.]
global_step=34386, episodic_return=[282.]
global_step=34687, episodic_return=[301.]
SPS: 608
global_step=34989, episodic_return=[302.]
global_step=35489, episodic_return=[500.]
global_step=35853, episodic_return=[364.]
global_step=36292, episodic_return=[439.]
global_step=36494, episodic_return=[202.]
global_step=36824, episodic_return=[330.]
SPS: 609
global_step=37287, episodic_return=[463.]
global_step=37663, episodic_return=[376.]
global_step=37858, episodic_return=[195.]
global_step=38161, episodic_return=[303.]
global_step=38461, episodic_return=[300.]
global_step=38696, episodic_return=[235.]
SPS: 610
global_step=38966, episodic_return=[270.]
global_step=39265, episodic_return=[299.]
global_step=39505, episodic_return=[240.]
global_step=39713, episodic_return=[208.]
global_step=39921, episodic_return=[208.]
global_step=40163, episodic_return=[242.]
global_step=40434, episodic_return=[271.]
global_step=40629, episodic_return=[195.]
global_step=40849, episodic_return=[220.]
SPS: 608
global_step=41027, episodic_return=[178.]
global_step=41270, episodic_return=[243.]
global_step=41412, episodic_return=[142.]
global_step=41595, episodic_return=[183.]
global_step=41832, episodic_return=[237.]
global_step=42276, episodic_return=[444.]
global_step=42504, episodic_return=[228.]
global_step=42673, episodic_return=[169.]
global_step=42989, episodic_return=[316.]
SPS: 608
global_step=43148, episodic_return=[159.]
global_step=43431, episodic_return=[283.]
global_step=43719, episodic_return=[288.]
global_step=43863, episodic_return=[144.]
global_step=44031, episodic_return=[168.]
global_step=44172, episodic_return=[141.]
global_step=44328, episodic_return=[156.]
global_step=44636, episodic_return=[308.]
global_step=44870, episodic_return=[234.]
SPS: 609
global_step=45091, episodic_return=[221.]
global_step=45271, episodic_return=[180.]
global_step=45485, episodic_return=[214.]
global_step=45709, episodic_return=[224.]
global_step=45979, episodic_return=[270.]
global_step=46232, episodic_return=[253.]
global_step=46362, episodic_return=[130.]
global_step=46491, episodic_return=[129.]
global_step=46795, episodic_return=[304.]
global_step=46992, episodic_return=[197.]
SPS: 609
global_step=47233, episodic_return=[241.]
global_step=47432, episodic_return=[199.]
global_step=47573, episodic_return=[141.]
global_step=47812, episodic_return=[239.]
global_step=47990, episodic_return=[178.]
global_step=48174, episodic_return=[184.]
global_step=48622, episodic_return=[448.]
global_step=48930, episodic_return=[308.]
global_step=49143, episodic_return=[213.]
SPS: 609
global_step=49289, episodic_return=[146.]
